Image,Ear_Detected,Area_Percent,Num_Detections
95gr (8).png,False,0.00,0
95gr (9).png,False,0.00,0
95gr.png,False,0.00,0
95rfb (10).png,False,0.00,0
95rfb (11).png,False,0.00,0
95rfb (12).png,True,25.96,1
95rfb (13).png,True,23.92,1
95rfb (2).png,False,0.00,0
95rfb (3).png,False,0.00,0
95rfb (4).png,False,0.00,0
95rfb (5).png,False,0.00,0
95rfb (6).png,True,24.79,1
95rfb (7).png,False,0.00,0
95rfb (8).png,False,0.00,0
95rfb (9).png,True,15.67,1
95rfb.png,True,22.37,1
96gr (10).png,False,0.00,0
96gr (11).png,False,0.00,0
96gr (12).png,False,0.00,0
96gr (13).png,False,0.00,0
96gr (2).png,True,20.36,1
96gr (3).png,False,0.00,0
96gr (4).png,False,0.00,0
96gr (5).png,True,21.56,1
96gr (6).png,False,0.00,0
96gr (7).png,False,0.00,0
96gr (8).png,False,0.00,0
96gr (9).png,True,19.09,1
96gr.png,False,0.00,0
96rfb (10).png,True,18.06,1
96rfb (11).png,True,22.74,2
96rfb (12).png,True,15.19,2
96rfb (13).png,False,0.00,0
96rfb (2).png,False,0.00,0
96rfb (3).png,False,0.00,0
96rfb (4).png,False,0.00,0
96rfb (5).png,False,0.00,0
96rfb (6).png,False,0.00,0
96rfb (7).png,False,0.00,0
96rfb (8).png,False,0.00,0
96rfb (9).png,True,23.37,1
96rfb.png,True,19.49,1
97gr (10).png,False,0.00,0
97gr (11).png,False,0.00,0
97gr (12).png,False,0.00,0
97gr (13).png,False,0.00,0
97gr (2).png,False,0.00,0
97gr (3).png,False,0.00,0
97gr (4).png,False,0.00,0
97gr (5).png,False,0.00,0
97gr (6).png,False,0.00,0
97gr (7).png,False,0.00,0
97gr (8).png,False,0.00,0
97gr (9).png,False,0.00,0
97gr.png,False,0.00,0
97rfb (10).png,False,0.00,0
97rfb (11).png,True,14.21,1
97rfb (12).png,True,24.56,2
97rfb (13).png,False,0.00,0
97rfb (2).png,True,24.95,1
97rfb (3).png,False,0.00,0
97rfb (4).png,True,14.56,2
97rfb (5).png,False,0.00,0
97rfb (6).png,False,0.00,0
97rfb (7).png,True,24.66,1
97rfb (8).png,False,0.00,0
97rfb (9).png,False,0.00,0
97rfb.png,True,15.02,4
98gr (10).png,False,0.00,0
98gr (11).png,False,0.00,0
98gr (12).png,False,0.00,0
98gr (13).png,False,0.00,0
98gr (2).png,False,0.00,0
98gr (3).png,False,0.00,0
98gr (4).png,False,0.00,0
98gr (5).png,False,0.00,0
98gr (6).png,True,24.61,1
98gr (7).png,False,0.00,0
98gr (8).png,False,0.00,0
98gr (9).png,False,0.00,0
98gr.png,False,0.00,0
98rfb (10).png,True,21.12,1
98rfb (11).png,True,23.06,1
98rfb (12).png,False,0.00,0
98rfb (13).png,True,18.68,2
98rfb (2).png,True,15.85,2
98rfb (3).png,False,0.00,0
98rfb (4).png,True,17.41,1
98rfb (5).png,True,20.91,2
98rfb (6).png,True,24.19,1
98rfb (7).png,False,0.00,0
98rfb (8).png,False,0.00,0
98rfb (9).png,True,18.10,1
98rfb.png,True,17.28,2
99gr (10).png,False,0.00,0
99gr (11).png,False,0.00,0
99gr (12).png,False,0.00,0
99gr (13).png,True,22.52,1
99gr (2).png,True,24.34,1
99gr (3).png,False,0.00,0
99gr (4).png,False,0.00,0
99gr (5).png,False,0.00,0
99gr (6).png,False,0.00,0
99gr (7).png,True,21.96,1
99gr (8).png,False,0.00,0
99gr (9).png,False,0.00,0
99gr.png,False,0.00,0
99rfb (10).png,False,0.00,0
99rfb (11).png,False,0.00,0
99rfb (12).png,False,0.00,0
99rfb (13).png,True,25.12,2
99rfb (2).png,True,25.90,2
99rfb (3).png,False,0.00,0
99rfb (4).png,False,0.00,0
99rfb (5).png,False,0.00,0
99rfb (6).png,False,0.00,0
99rfb (7).png,False,0.00,0
99rfb (8).png,True,20.79,1
99rfb (9).png,True,19.06,2
99rfb.png,False,0.00,0
